source_metadata_id,ark,manifest_url
99114263123506421,ark:/88435/dcpr76fd22d,https://figgy.princeton.edu/concern/scanned_resources/76f6c0eb-1da7-4aee-a021-eb49377c50ea/manifest
99114256243506421,ark:/88435/7s75dn98r,https://figgy.princeton.edu/concern/scanned_resources/44d3c17f-d4a0-46ff-9071-fecc644a21d3/manifest
99114262183506421,ark:/88435/8k71ns72g,https://figgy.princeton.edu/concern/scanned_resources/43acba1b-6be0-4b35-acb9-bc8d169e224c/manifest
9925212913506421,ark:/88435/6395w782m,https://figgy.princeton.edu/concern/scanned_resources/1c3ee1e4-739f-464f-8ec9-fe838aeaae9b/manifest
9925171903506421,ark:/88435/dcqb98mr63z,https://figgy.princeton.edu/concern/scanned_resources/1e5e140d-cb93-4d09-b2a9-3e4c4e8c00b3/manifest
9926119553506421,ark:/88435/tm70n210x,https://figgy.princeton.edu/concern/scanned_resources/80e5d851-8dd2-4f00-b8f6-f174591ca297/manifest
9929386053506421,ark:/88435/dcpk02cm531,https://figgy.princeton.edu/concern/scanned_resources/db671af7-755e-4cdd-9552-72a7b5daee32/manifest
99114261563506421,ark:/88435/j098zm71m,https://figgy.princeton.edu/concern/scanned_resources/f59c85c9-29ed-4258-a546-33cbab79bc19/manifest
99114260113506421,ark:/88435/dc0r967d53r,https://figgy.princeton.edu/concern/scanned_resources/da37350e-722f-46f6-b82a-d4f857d0635d/manifest
9927262913506421,ark:/88435/dcs1784w537,https://figgy.princeton.edu/concern/scanned_resources/4ddfe341-fe0a-4409-8e02-080a4c30f848/manifest
99114250573506421,ark:/88435/zk51vp70r,https://figgy.princeton.edu/concern/scanned_resources/88df97be-3f23-4235-86f6-1b4a5a75a886/manifest
9923358303506421,ark:/88435/5m60qz853,https://figgy.princeton.edu/concern/scanned_resources/c7045229-f6ac-402b-9efa-96a60d379094/manifest
9922778343506421,ark:/88435/v979vc71z,https://figgy.princeton.edu/concern/scanned_resources/a857ba41-1cb8-4fc0-b3d7-b11f42cc0804/manifest
99114254503506421,ark:/88435/dck3569f503,https://figgy.princeton.edu/concern/scanned_resources/a86fcd4e-0752-4ec9-b683-18d44b322594/manifest
99114252263506421,ark:/88435/8p58pp53t,https://figgy.princeton.edu/concern/scanned_resources/f7f8bf91-cf7e-45e3-a511-cf574b688ad8/manifest
99114251763506421,ark:/88435/m039kf47w,https://figgy.princeton.edu/concern/scanned_resources/9e4d2b7d-63e0-4648-9333-42917e80dc49/manifest
9926255653506421,ark:/88435/g445cd891,https://figgy.princeton.edu/concern/scanned_resources/60fe1809-c437-40f4-bc46-307a8366ad33/manifest
9925214073506421,ark:/88435/6h440t20j,https://figgy.princeton.edu/concern/scanned_resources/0abc40f3-e233-47c2-ad61-6a107d51ada9/manifest
99114254353506421,ark:/88435/dr26z700p,https://figgy.princeton.edu/concern/scanned_resources/c6140f32-34ae-4492-81a2-518de42d4dd9/manifest
9916649873506421,ark:/88435/dcf7623p772,https://figgy.princeton.edu/concern/scanned_resources/695ba3a5-3fbf-45ed-b981-fe4a03d76232/manifest
99114259613506421,ark:/88435/dc0v8389757,https://figgy.princeton.edu/concern/scanned_resources/696753c0-9ac6-45f7-96cf-a741599eb3fa/manifest
9925182773506421,ark:/88435/h989r9154,https://figgy.princeton.edu/concern/scanned_resources/4d02d69e-3c5d-46df-8db5-6d2876f97606/manifest
99114257453506421,ark:/88435/vm40z2222,https://figgy.princeton.edu/concern/scanned_resources/7293afae-5463-4b74-9603-38abe0b020a3/manifest
99100295113506421,ark:/88435/pn89d734w,https://figgy.princeton.edu/concern/scanned_resources/30b83800-c4d2-466a-ac45-ad89f0dc636b/manifest
9923244213506421,ark:/88435/dc8p58pp73q,https://figgy.princeton.edu/concern/scanned_resources/30ca22e2-5807-46a4-b953-24386bcabb9f/manifest
99114259913506421,ark:/88435/dc4j03d8849,https://figgy.princeton.edu/concern/scanned_resources/092a47f7-8fda-4adc-8c0b-375381c77e27/manifest
99114262213506421,ark:/88435/2r36v716s,https://figgy.princeton.edu/concern/scanned_resources/0a848663-1c74-4c1f-8d83-0bde18a6a42c/manifest
9929260213506421,ark:/88435/5425kb430,https://figgy.princeton.edu/concern/scanned_resources/c0e801a4-01c8-41f1-a07a-2ece984f7873/manifest
99114248413506421,ark:/88435/j3860d885,https://figgy.princeton.edu/concern/scanned_resources/7cee0577-8bd4-4325-9615-cfe02a8b9bd3/manifest
99114263003506421,ark:/88435/dczp38wp44b,https://figgy.princeton.edu/concern/scanned_resources/c35655de-f030-43b5-aec2-40732d79e9ee/manifest
99114258603506421,ark:/88435/dc9k41zq173,https://figgy.princeton.edu/concern/scanned_resources/9e121dbb-1268-4924-ae6d-8e6ab937c193/manifest
9973948263506421,ark:/88435/pc289k44x,https://figgy.princeton.edu/concern/scanned_resources/4285f558-932b-4392-b58e-4f07d66432a2/manifest
99114257993506421,ark:/88435/x059ch97g,https://figgy.princeton.edu/concern/scanned_resources/42936df6-7cc4-4f1e-9cd4-f693d753b745/manifest
99114254993506421,ark:/88435/dcbr86bf11n,https://figgy.princeton.edu/concern/scanned_resources/5a884785-da63-48d7-9e1d-ec0e6e7376ca/manifest
99114259823506421,ark:/88435/dcr781wr842,https://figgy.princeton.edu/concern/scanned_resources/5ec30916-2f4d-43f0-a8cc-73681136e22f/manifest
99114257983506421,ark:/88435/jq085v61b,https://figgy.princeton.edu/concern/scanned_resources/5fd9f120-5316-42f9-8b2f-6be0480eefe3/manifest
99114257833506421,ark:/88435/41687t10d,https://figgy.princeton.edu/concern/scanned_resources/e81dde71-5458-4e0f-89ab-d56b49e8ac21/manifest
99114259093506421,ark:/88435/dc4x51ht820,https://figgy.princeton.edu/concern/scanned_resources/41ebeb50-4355-4526-9e17-80a517591045/manifest
9924531393506421,ark:/88435/cn69m487t,https://figgy.princeton.edu/concern/scanned_resources/6959f17d-9028-4cf0-9eb5-0e225fa79c8a/manifest
993071413506421,ark:/88435/dc7m01bw871,https://figgy.princeton.edu/concern/scanned_resources/66f3472e-da74-4eb6-b9e8-4d2423bc91e1/manifest
9964152913506421,ark:/88435/gb19f6554,https://figgy.princeton.edu/concern/scanned_resources/2f7fc2e5-3fd2-4a0f-9a29-1e67d757804c/manifest
99114261963506421,ark:/88435/dc3b591k75m,https://figgy.princeton.edu/concern/scanned_resources/30418441-f0c6-4b97-b72f-374064c5fb4b/manifest
9971904443506421,ark:/88435/6q182m438,https://figgy.princeton.edu/concern/scanned_resources/71fbaa03-6194-4dde-90bb-7a0f7d8c41fa/manifest
99114251993506421,ark:/88435/z029pf309,https://figgy.princeton.edu/concern/scanned_resources/723d03e2-e227-4ac4-b32a-b92d18f2ab14/manifest
9926166213506421,ark:/88435/vh53x530x,https://figgy.princeton.edu/concern/scanned_resources/08172a0a-10d5-4cc0-b11e-148eb9c06f70/manifest
99114256733506421,ark:/88435/2227n028j,https://figgy.princeton.edu/concern/scanned_resources/0892f296-bfee-45e9-a9cb-6f11876ede9a/manifest
9923343033506421,ark:/88435/8049gb99m,https://figgy.princeton.edu/concern/scanned_resources/317ae996-c459-4482-9d33-6571313a26d7/manifest
99114252083506421,ark:/88435/st74d1044,https://figgy.princeton.edu/concern/scanned_resources/2537e0a6-57b0-4f4a-b3a7-373f941d6fde/manifest
99114259323506421,ark:/88435/dcwh247333m,https://figgy.princeton.edu/concern/scanned_resources/25652638-5da5-4676-a235-8811600e9288/manifest
9924574043506421,ark:/88435/dct722hk99n,https://figgy.princeton.edu/concern/scanned_resources/702f1c98-4847-4dd6-8268-3b7359cfb5bb/manifest
99114257753506421,ark:/88435/2b88qn81w,https://figgy.princeton.edu/concern/scanned_resources/71c534b9-d83f-40f0-844a-000fe5f53a09/manifest
99114249923506421,ark:/88435/nv935879h,https://figgy.princeton.edu/concern/scanned_resources/407f97bd-0e22-4aab-b867-890f4836cbf7/manifest
99114260073506421,ark:/88435/dcc534fz74f,https://figgy.princeton.edu/concern/scanned_resources/412f014b-9ce3-4dfd-a973-2c048758cbfe/manifest
99114259673506421,ark:/88435/dc8k71nt28j,https://figgy.princeton.edu/concern/scanned_resources/4c9985af-3bed-471c-a014-402e9d1959ef/manifest
99114257573506421,ark:/88435/gt54kx674,https://figgy.princeton.edu/concern/scanned_resources/4c0218a4-51eb-4074-aaf6-85df9301c890/manifest
9964283213506421,ark:/88435/1g05fc343,https://figgy.princeton.edu/concern/scanned_resources/5ccca40a-7753-4a8c-9c80-4671f5446196/manifest
99114263433506421,ark:/88435/1257b289t,https://figgy.princeton.edu/concern/scanned_resources/83388416-db3d-40ad-b32b-208d2fbf88d2/manifest
99114258773506421,ark:/88435/dcbg257q74j,https://figgy.princeton.edu/concern/scanned_resources/1f9e1615-4e92-4c40-b709-5c038fb71e24/manifest
